user_id,spent_money,items_quantity,recommendation_percentage
--000--,6443.55,645,98%
--ace--,6443.55,645,98%
--ionex--,599.6999999999999,30,93%
-2SV-vuLB-Kg,3.98,2,100%
-404PageNotFound-,1739.1299999999999,87,94%
-AnimeIsMyThing-,1739.1299999999999,87,94%
-Beave-,6443.55,645,98%
-Encore-,2258.87,113,99%
-GM-Dragon,219.78,22,100%
-I_AM_EPIC-,6443.55,645,98%
-JT,2997.0,300,98%
-KillZone-,219.78,22,100%
-Mad-,219.78,22,100%
-Naughty-,1739.1299999999999,87,94%
-PRoSlayeR-,6.99,1,100%
-SEVEN-,1739.1299999999999,87,94%
-SatansLittleHelper-,6443.55,645,98%
-Thyme-,39.6,40,88%
-Ultrix,6443.55,645,98%
-Uplink-,6443.55,645,98%
-Zovix-,6443.55,645,98%
-_PussyDestroyer_-,1739.1299999999999,87,94%
-iBubble,29.97,3,100%
-kainey9777,0.0,5,40%
-xKyox-,6443.55,645,98%
00000000000000000001227,89.91,9,89%
00000003010,1739.1299999999999,87,94%
0000FF,6443.55,645,98%
000Infinity000,0.0,58,95%
001000111000111000010,149.85,15,100%
001010001,6443.55,645,98%
0041287,1739.1299999999999,87,94%
00454211432342,709.29,71,96%
005577,1739.1299999999999,87,94%
00690069006900,99.9,10,100%
0071945,39.92,8,62%
007james_bond,1739.1299999999999,87,94%
007thesilence,1739.1299999999999,87,94%
00810cccyyykkk,9.98,2,100%
008port,219.78,22,100%
0099654321891111,1739.1299999999999,87,94%
00True,6443.55,645,98%
00nana,0.0,58,95%
01001000-01101001,6443.55,645,98%
010607,709.29,71,96%
011000100001000111,6443.55,645,98%
011011010111001000101110,259.74,26,100%
011111135489484797,6443.55,645,98%
01120477677,709.29,71,96%
0112937783,709.29,71,96%
01189958889189157253,1739.1299999999999,87,94%
0118999881999119,6443.55,645,98%
01221733,6443.55,645,98%
0136849195,6443.55,645,98%
018302,6443.55,645,98%
01shan,6443.55,645,98%
0212030,179.91,9,100%
022899,6443.55,645,98%
0248359,99.94999999999999,5,100%
0271975108,6443.55,645,98%
0305089,1739.1299999999999,87,94%
03092002,6443.55,645,98%
0402593613,109.89,11,91%
04092013,0.0,58,95%
041112016,149.85,15,100%
0412734634,6443.55,645,98%
0412827540,6443.55,645,98%
042153100,9.99,1,100%
0421874858,1739.1299999999999,87,94%
04280122,1739.1299999999999,87,94%
0432-026-no,6443.55,645,98%
04536829290339393838,709.29,71,96%
0468313256,9.99,1,100%
0488456,6443.55,645,98%
05041129,6443.55,645,98%
05461025,0.0,329,91%
05511301,1739.1299999999999,87,94%
066600,1739.1299999999999,87,94%
0700464574757,6443.55,645,98%
07846813956825,709.29,71,96%
0814551,6443.55,645,98%
0827777,0.0,53,83%
0896398616,6443.55,645,98%
0898786879898,1549.3799999999999,62,94%
08alross,6443.55,645,98%
09106,709.29,71,96%
091263,709.29,71,96%
092982943,6443.55,645,98%
0935659130,3.98,2,100%
094553552,6443.55,645,98%
095732,6443.55,645,98%
095843067,6443.55,645,98%
098765432108642,1739.1299999999999,87,94%
09876543231,99.9,10,100%
098766catdogbnmnnn,6443.55,645,98%
09895749373554,219.78,22,100%
0996633,709.29,71,96%
0FI3MWAJS2849023N,2385.2200000000003,478,76%
0rangeZ3r0,119.94,6,100%
0x0B00B135,709.29,71,96%
0x426F,1739.1299999999999,87,94%
1-800-Invisible,709.29,71,96%
10000000thVisitor,89.91,9,100%
100011101011,2438.7799999999997,122,97%
1000jaus,709.29,71,96%
1001101001110101,4.99,1,100%
100355,6443.55,645,98%
10051997,6443.55,645,98%
10101010101010109,709.29,71,96%
101010101111,6443.55,645,98%
101010102,709.29,71,96%
1010102,6443.55,645,98%
101013483181348,0.0,223,96%
1011001,6443.55,645,98%
1011010101101101010101,1739.1299999999999,87,94%
1011012001,6443.55,645,98%
101316,4877.5599999999995,244,99%
101676057,709.29,71,96%
10197226,219.78,22,100%
101thegreenguy,1739.1299999999999,87,94%
102547508,679.66,34,97%
102598615,6443.55,645,98%
1032165460,2997.0,300,98%
1052218979baidu,79.96,4,100%
10817,1739.1299999999999,87,94%
109284293753647,1739.1299999999999,87,94%
10936543792,149.85,15,100%
10948278193,2438.7799999999997,122,97%
109leonidas,9.99,1,100%
10Degree,1739.1299999999999,87,94%
10gp,439.78,22,100%
10outof10matee,709.29,71,96%
10oyard,4877.5599999999995,244,99%
11010011011,219.78,22,100%
1101167413,1739.1299999999999,87,94%
110211021,1739.1299999999999,87,94%
110321565469,6443.55,645,98%
1103703132946,6443.55,645,98%
111190869,1739.1299999999999,87,94%
111222333222111,6443.55,645,98%
111222333444555666888,1739.1299999999999,87,94%
11123xxx3122,1739.1299999999999,87,94%
11124,1739.1299999999999,87,94%
11141995,6443.55,645,98%
111s,709.29,71,96%
111zerosen,89.91,9,89%
1122305938,709.29,71,96%
11345678,6443.55,645,98%
113595,6443.55,645,98%
1136579070,179.91,9,100%
11464789,6443.55,645,98%
11567jj,709.29,71,96%
1163321,24.950000000000003,5,100%
117007,6443.55,645,98%
117331,6443.55,645,98%
117a2,179.91,9,100%
117arbiter,6443.55,645,98%
11925219096,6443.55,645,98%
119922883377446655123456789,29.97,3,100%
11XGX,709.29,71,96%
120445,6443.55,645,98%
120488700,6443.55,645,98%
12110604,179.91,9,100%
1212343456567878909,6443.55,645,98%
12123871234989120,709.29,71,96%
12125,89.91,9,89%
121478,1739.1299999999999,87,94%
121598558,0.0,43,86%
12223536,1739.1299999999999,87,94%
122249_700b,6443.55,645,98%
122799,6443.55,645,98%
123123123131231231,6443.55,645,98%
12312312332123,6443.55,645,98%
12312341244123,6443.55,645,98%
1231343263534243534,6443.55,645,98%
123232343432555686888554456555,1739.1299999999999,87,94%
1232999,6443.55,645,98%
12332165478953761,6443.55,645,98%
1233451231252123,6443.55,645,98%
1233zaazen,6443.55,645,98%
12341846,709.29,71,96%
1234321115,1739.1299999999999,87,94%
1234455565,4877.5599999999995,244,99%
12345123456,149.85,15,100%
